"Connected","Activation lock","Full OS","Model","Serial","Battery","Carrier network","IMEI","Name","Tags","ICCID","Supervised?","Managed?","Missing apps"
"2021-04-06T05:03:24.000Z","Disabled","14.3","iPhone 7","C6KSNQS3HG7F","98%","-","353843083937371","C6KSNQS3HG7F","","8961025719506869438","Yes","No","3"
"2021-04-06T05:04:10.000Z","Disabled","14.3","iPhone 7","C6KTM6AKHG7G","100%","-","356561080533772","C6KTM6AKHG7G","","8961025716451323635","Yes","No","3"
"2021-04-06T04:53:00.000Z","Disabled","14.3","iPhone 7","C76T8ERCHG7F","92%","-","355321086464014","C76T8ERCHG7F","","8961025719506869560","Yes","No","3"
"2021-04-06T05:02:48.000Z","Disabled","14.3","iPhone 7","C77T3VXMHG7F","88%","-","355320084855785","C77T3VXMHG7F","","8961025719506869370","Yes","No","3"
"2021-03-25T06:54:36.000Z","Disabled","9.3.5","iPad 2","DKVMH152DKPH","88%","-","-","DKVMH152DKPH","","-","Yes","No","3"
"2021-03-25T06:56:08.000Z","Disabled","9.3.6","iPad (3rd Gen.)","DLXHFL2KDVGG","88%","OPTUS","013214008609325","DLXHFL2KDVGG","","-","Yes","No","3"
"2019-06-01T20:23:34.000Z","Disabled","12.3","iPad Air 2 (Cellular)","DLXPK0UYG5WQ","100%","-","355890068155055","DLXPK0UYG5WQ","","-","Yes","No","3"
"2021-04-06T05:04:54.000Z","Disabled","14.3","iPhone 7","F4GSJPL0HG7G","98%","-","359205078820547","F4GSJPL0HG7G","","8961025715442970314","Yes","No","3"
"2021-04-06T05:00:44.000Z","Disabled","14.3","iPhone 7","F4GSW0Z8HG7F","100%","-","355319082406211","F4GSW0Z8HG7F","","8961025715442970256","Yes","No","3"
"2021-04-06T04:58:28.000Z","Disabled","14.3","iPhone 7","F4HSXSXLHG7F","88%","-","355331084382365","F4HSXSXLHG7F","","8961025719506869362","Yes","No","3"
"2021-04-06T04:54:21.000Z","Disabled","14.3","iPhone 7","F4JSD9BYHG7K","100%","-","359205072198924","F4JSD9BYHG7K","","8961025719506869388","Yes","No","3"
"2020-06-27T04:49:54.000Z","Disabled","12.4.4","iPad Air","F6QPP0A0FK14","56%","-","-","F6QPP0A0FK14","","-","Yes","No","3"
"2021-05-13T05:18:05.000Z","Disabled","12.5.1","iPad Air","F6QPX2LGFK14","47%","-","-","F6QPX2LGFK14","","-","Yes","No","3"
"2021-04-15T03:18:25.000Z","Disabled","12.5.1","iPad Air (Cellular)","F6QSC006F4YJ","100%","-","352057063453223","F6QSC006F4YJ","Twilio","8901260862291352614","Yes","No","3"
"2021-04-06T05:06:27.000Z","Disabled","14.3","iPhone 7","F71SQ30WHG7G","91%","-","355317080281347","F71SQ30WHG7G","Twilio","8961025719506869479","Yes","No","3"
