"Name","Serial","Connected","Full OS","Model","Battery","Carrier network","Tags","ICCID","Supervised?","Managed?"
"F8QS500AF4YF","F8QS500AF4YF","2021-08-01T13:21:47.000Z","12.5.4","iPad Air (Cellular)","3%","Spark NZ","TwilioSuperSIM","89883070000012025183","Yes","Yes"
"F8QS407XF4YJ","F8QS407XF4YJ","2021-08-01T09:49:09.000Z","12.5.4","iPad Air (Cellular)","100%","Spark NZ","TwilioSuperSIM","89883070000012025191","Yes","Yes"
"F8QS303HF4YH","F8QS303HF4YH","2021-08-01T12:56:30.000Z","12.4.4","iPad Air (Cellular)","46%","Spark NZ","TwilioSuperSIM","89883070000012025167","Yes","Yes"
"F8QRX09SF4YH","F8QRX09SF4YH","2021-08-01T06:52:27.000Z","12.4.5","iPad Air (Cellular)","100%","Spark NZ","TwilioSuperSIM","89883070000012025225","Yes","Yes"
"F8QRX06XF4YH","F8QRX06XF4YH","2021-08-01T06:38:56.000Z","12.4.5","iPad Air (Cellular)","100%","Spark NZ","TwilioSuperSIM","89883070000012025175","Yes","Yes"
"F8QRW01MF4YD","F8QRW01MF4YD","2021-08-01T16:18:00.000Z","12.5.4","iPad Air (Cellular)","64%","Spark NZ","TwilioSuperSIM","89883070000012025217","Yes","Yes"
"iPhone","F71SF2JMHG7N","2021-08-20T04:26:53.000Z","14.7.1","iPhone 7","93%","-","TwilioSuperSIM","89883070000006950917","Yes","Yes"
"GGLWH0BKJC6D","GGLWH0BKJC6D","2021-08-16T18:48:32.000Z","14.5.1","iPhone 8","5%","Spark NZ","TwilioSuperSIM","89883070000006950008","Yes","Yes"
"FFMXT74DJC6C","FFMXT74DJC6C","2021-07-16T04:16:51.000Z","14.5.1","iPhone 8","99%","Optus AU","TwilioSuperSIM","89883070000006950115","Yes","Yes"
"FFMXRD7KJC6J","FFMXRD7KJC6J","2021-07-21T06:51:55.000Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950347","Yes","Yes"
"FFMXNCNNJC6H","FFMXNCNNJC6H","2021-07-05T01:02:04.000Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950024","Yes","Yes"
"FFMXN8TJJC6G","FFMXN8TJJC6G","2021-08-20T04:33:42.000Z","14.5.1","iPhone 8","92%","Optus AU","TwilioSuperSIM","89883070000006950198","Yes","Yes"
"FFMXJE0LJC6G","FFMXJE0LJC6G","2021-08-20T04:32:58.000Z","14.5.1","iPhone 8","84%","Optus AU","TwilioSuperSIM","89883070000006950180","Yes","Yes"
"F72YF1FEHG7F","F72YF1FEHG7F","2021-07-16T03:54:45.000Z","14.6","iPhone 7","97%","Optus AU","TwilioSuperSIM","89883070000006951261","Yes","Yes"
"F71SQ75UHG7G","F71SQ75UHG7G","2021-07-12T05:34:51.000Z","14.3","iPhone 7","31%","Telstra Mobile","TwilioSuperSIM","89883070000006951238","Yes","Yes"
"F71SQ2E3HG7G","F71SQ2E3HG7G","2021-07-12T05:31:14.000Z","14.3","iPhone 7","67%","Optus AU","TwilioSuperSIM","89883070000006951212","Yes","Yes"
"F4JW87V8JC6C","F4JW87V8JC6C","2021-08-20T04:32:38.000Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950099","Yes","Yes"
"F4HW6298JC6G","F4HW6298JC6G","2021-07-05T02:10:21.000Z","14.5.1","iPhone 8","100%","Optus AU","TwilioSuperSIM","89883070000006950040","Yes","Yes"
"F4HVKDAYJC6J","F4HVKDAYJC6J","2021-08-16T22:52:36.000Z","14.5.1","iPhone 8","1%","Spark NZ","TwilioSuperSIM","89883070000006950297","Yes","Yes"
"F4HVH5BTJC6G","F4HVH5BTJC6G","2021-07-05T00:55:55.000Z","14.5.1","iPhone 8","4%","Optus AU","TwilioSuperSIM","89883070000006950222","Yes","Yes"
